Town,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles
Bradford,"22,993.69",35.93,"22,549.15",35.23,444.54,0.69
Canterbury,"28,696.60",44.84,"28,123.99",43.94,572.61,0.89
Chichester,"13,628.10",21.29,"13,564.57",21.19,63.53,0.1
Concord,"42,999.79",67.19,"40,933.93",63.96,"2,065.86",3.23
Danbury,"24,343.39",38.04,"24,161.80",37.75,181.59,0.28
Dunbarton,"20,045.64",31.32,"19,734.04",30.83,311.6,0.49
Epsom,"22,152.73",34.61,"22,066.77",34.48,85.96,0.13
Franklin,"18,661.57",29.16,"17,708.91",27.67,952.66,1.49
Henniker,"28,671.74",44.8,"28,231.91",44.11,439.83,0.69
Hill,"17,107.07",26.73,"17,068.46",26.67,38.61,0.06
Hooksett,"23,760.58",37.13,"23,164.35",36.19,596.24,0.93
Hopkinton,"28,851.61",45.08,"27,698.32",43.28,"1,153.29",1.8
Loudon,"29,896.58",46.71,"29,452.45",46.02,444.13,0.69
New London,"16,267.87",25.42,"14,304.59",22.35,"1,963.28",3.07
Newbury,"24,382.55",38.1,"22,917.85",35.81,"1,464.70",2.29
Northfield,"18,485.68",28.88,"18,299.62",28.59,186.06,0.29
Pembroke,"14,597.25",22.81,"14,486.98",22.64,110.27,0.17
Pittsfield,"15,558.70",24.31,"15,440.24",24.13,118.46,0.19
Salisbury,"25,468.30",39.79,"25,318.42",39.56,149.88,0.23
Sutton,"27,734.78",43.34,"27,233.59",42.55,501.19,0.78
Warner,"35,502.02",55.47,"35,352.34",55.24,149.68,0.23
Webster,"18,425.77",28.79,"18,089.45",28.26,336.32,0.53
Wilmot,"18,955.38",29.62,"18,819.19",29.4,136.19,0.21
Atkinson,"7,258.46",11.34,"7,154.53",11.18,103.92,0.16
Auburn,"18,437.94",28.81,"16,308.01",25.48,"2,129.93",3.33
Brentwood,"10,863.00",16.97,"10,860.76",16.97,2.24,0
Candia,"19,557.09",30.56,"19,408.38",30.33,148.71,0.23
Chester,"16,717.75",26.12,"16,661.66",26.03,56.09,0.09
Danville,"7,569.40",11.83,"7,453.77",11.65,115.63,0.18
Deerfield,"33,347.66",52.11,"32,496.59",50.78,851.07,1.33
Derry,"23,225.64",36.29,"22,675.90",35.43,549.74,0.86
East Kingston,"6,380.73",9.97,"6,344.77",9.91,35.96,0.06
Epping,"16,775.61",26.21,"16,690.30",26.08,85.31,0.13
Exeter,"12,812.88",20.02,"12,644.78",19.76,168.1,0.26
Fremont,"11,142.36",17.41,"11,043.20",17.26,99.16,0.15
Greenland,"8,523.83",13.32,"6,745.77",10.54,"1,778.06",2.78
Hampstead,"9,014.11",14.08,"8,580.25",13.41,433.86,0.68
