Town,County,Trump,Biden,Other,Perc_Trump,Perc_Biden,Winner,wr_Biden,wr_Trump,population,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles,Income,zip_code,pop_density
Laconia,Belknap,4642.0,4141.0,137.0,0.5285210064898098,0.4714789935101901,Trump,,1.1209852692586333,16581.0,"16,712.23",26.11,"12,860.62",20.09,"3,851.61",6.02,52702.0,03247,825.3359880537581
Lancaster,Coos,874.0,817.0,34.0,0.5168539325842697,0.48314606741573035,Trump,,1.069767441860465,3255.0,"32,763.59",51.19,"32,129.92",50.2,633.66,0.99,49207.0,03584,64.8406374501992
Landaff,Grafton,155.0,126.0,4.0,0.5516014234875445,0.4483985765124555,Trump,,1.2301587301587302,439.0,"18,223.58",28.47,"18,181.33",28.41,42.25,0.07,48036.0,03585,15.45230552622316
Landaff,Grafton,155.0,126.0,4.0,0.5516014234875445,0.4483985765124555,Trump,,1.2301587301587302,439.0,"18,223.58",28.47,"18,181.33",28.41,42.25,0.07,48036.0,03785,15.45230552622316
Langdon,Sullivan,199.0,206.0,7.0,0.49135802469135803,0.508641975308642,Biden,1.035175879396985,,684.0,"10,446.09",16.32,"10,443.68",16.32,2.41,0.0,82778.0,,41.911764705882355
Lebanon,Grafton,1954.0,5895.0,100.0,0.24894891068925978,0.7510510893107403,Biden,3.0168884339815762,,13651.0,"26,415.20",41.27,"25,814.03",40.33,601.17,0.94,64564.0,03756,338.4825192164642
Lebanon,Grafton,1954.0,5895.0,100.0,0.24894891068925978,0.7510510893107403,Biden,3.0168884339815762,,13651.0,"26,415.20",41.27,"25,814.03",40.33,601.17,0.94,64564.0,03766,338.4825192164642
Lee,Strafford,971.0,1957.0,48.0,0.3316256830601093,0.6683743169398907,Biden,2.015447991761071,,4569.0,"12,927.24",20.2,"12,788.37",19.98,138.87,0.22,108462.0,03824,228.67867867867866
Lee,Strafford,971.0,1957.0,48.0,0.3316256830601093,0.6683743169398907,Biden,2.015447991761071,,4569.0,"12,927.24",20.2,"12,788.37",19.98,138.87,0.22,108462.0,03861,228.67867867867866
Lempster,Sullivan,440.0,274.0,12.0,0.6162464985994398,0.38375350140056025,Trump,,1.6058394160583942,1168.0,"20,956.23",32.74,"20,689.22",32.33,267.01,0.42,63646.0,03605,36.12743581812558
Lincoln,Grafton,397.0,513.0,13.0,0.43626373626373627,0.5637362637362637,Biden,1.292191435768262,,1760.0,"83,843.71",131.01,"83,701.63",130.78,142.1,0.22,50238.0,03251,13.45771524697966
Lisbon,Grafton,431.0,353.0,12.0,0.5497448979591837,0.4502551020408163,Trump,,1.2209631728045325,1579.0,"17,065.58",26.66,"16,960.80",26.5,104.78,0.16,51726.0,03585,59.58490566037736
Litchfield,Hillsborough,2824.0,2497.0,89.0,0.5307273068971998,0.46927269310280023,Trump,,1.1309571485782939,8641.0,"9,783.79",15.29,"9,550.05",14.92,233.74,0.37,93715.0,03052,579.1554959785523
Littleton,Grafton,1507.0,1557.0,51.0,0.4918407310704961,0.5081592689295039,Biden,1.033178500331785,,5870.0,"34,555.32",53.99,"32,021.14",50.03,"2,534.17",3.96,39490.0,03561,117.3296022386568
Londonderry,Rockingham,7905.0,7738.0,230.0,0.5053378507958831,0.49466214920411683,Trump,,1.0215818040837426,26490.0,"26,958.13",42.12,"26,897.87",42.03,60.26,0.09,95395.0,03053,630.2640970735189
Loudon,Merrimack,2152.0,1489.0,70.0,0.5910464158198298,0.4089535841801703,Trump,,1.445265278710544,5634.0,"29,896.58",46.71,"29,452.45",46.02,444.13,0.69,67072.0,03307,122.42503259452411
Lyman,Grafton,208.0,174.0,3.0,0.5445026178010471,0.45549738219895286,Trump,,1.1954022988505748,526.0,"18,355.87",28.68,"18,172.97",28.4,182.9,0.29,56965.0,03585,18.52112676056338
Lyme,Grafton,218.0,1074.0,13.0,0.16873065015479877,0.8312693498452013,Biden,4.926605504587156,,1675.0,"35,215.77",55.02,"34,459.78",53.84,755.99,1.18,108558.0,03768,31.110698365527487
Lyndeborough,Hillsborough,541.0,564.0,33.0,0.48959276018099546,0.5104072398190045,Biden,1.0425138632162663,,1732.0,"19,369.68",30.27,"19,297.49",30.15,72.19,0.11,84948.0,03082,57.44610281923715
Madbury,Strafford,454.0,824.0,30.0,0.35524256651017216,0.6447574334898278,Biden,1.8149779735682818,,1883.0,"7,799.04",12.19,"7,390.17",11.55,408.87,0.64,105795.0,03823,163.03030303030303
Madison,Carroll,760.0,926.0,17.0,0.45077105575326215,0.5492289442467378,Biden,1.2184210526315788,,2606.0,"26,157.25",40.87,"24,765.93",38.7,"1,391.32",2.17,59675.0,03849,67.33850129198966
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03101,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03102,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03103,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03104,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03105,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03107,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03108,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03109,3409.1679273827535
Manchester,Hillsborough,22127.0,29464.0,1015.0,0.42889263631253516,0.5711073636874648,Biden,1.3315858453473133,,112673.0,"22,354.57",34.93,"21,150.85",33.05,"1,203.73",1.88,56467.0,03111,3409.1679273827535
Marlborough,Cheshire,441.0,806.0,22.0,0.3536487570168404,0.6463512429831596,Biden,1.8276643990929706,,2076.0,"13,212.05",20.64,"13,061.48",20.41,150.57,0.24,56689.0,03455,101.71484566389024
Marlow,Cheshire,207.0,277.0,12.0,0.42768595041322316,0.5723140495867769,Biden,1.3381642512077294,,730.0,"16,921.56",26.44,"16,656.89",26.03,264.66,0.41,60833.0,03456,28.044563964656163
Mason,Hillsborough,535.0,380.0,31.0,0.5846994535519126,0.41530054644808745,Trump,,1.4078947368421053,1433.0,"15,352.66",23.99,"15,343.46",23.97,9.2,0.01,94653.0,03048,59.78306216103463
Meredith,Belknap,2208.0,2139.0,60.0,0.5079365079365079,0.49206349206349204,Trump,,1.032258064516129,6456.0,"34,919.70",54.56,"25,804.33",40.32,"9,115.37",14.24,68929.0,03253,160.11904761904762
Merrimack,Hillsborough,7669.0,8725.0,303.0,0.4677930950347688,0.5322069049652312,Biden,1.1376972225844308,,26490.0,"21,412.29",33.46,"20,879.54",32.62,532.75,0.83,97400.0,03054,812.0784794604538
Middleton,Strafford,643.0,378.0,21.0,0.6297747306562194,0.3702252693437806,Trump,,1.7010582010582012,1838.0,"11,842.95",18.5,"11,568.37",18.08,274.59,0.43,73466.0,03887,101.65929203539824
Milan,Coos,437.0,345.0,12.0,0.5588235294117647,0.4411764705882353,Trump,,1.2666666666666666,1235.0,"41,247.06",64.45,"40,916.24",63.93,330.8,0.52,51750.0,03588,19.318004066948223
Milford,Hillsborough,4123.0,4644.0,194.0,0.4702863009011064,0.5297136990988935,Biden,1.1263642978413777,,16411.0,"16,298.87",25.47,"16,266.07",25.42,32.8,0.05,73601.0,03055,645.5940204563335
Milton,Strafford,1476.0,1015.0,48.0,0.5925331192292252,0.4074668807707748,Trump,,1.4541871921182266,4624.0,"21,935.83",34.27,"21,159.76",33.06,776.07,1.21,67214.0,03851,139.8669086509377
Monroe,Grafton,309.0,227.0,8.0,0.5764925373134329,0.42350746268656714,Trump,,1.3612334801762114,802.0,"15,248.90",23.83,"14,356.14",22.43,892.76,1.39,61406.0,03771,35.7556843513152
Mont Vernon,Hillsborough,730.0,1011.0,37.0,0.41929925330269957,0.5807007466973004,Biden,1.384931506849315,,2659.0,"10,820.08",16.91,"10,770.37",16.83,49.71,0.08,107143.0,03057,157.9916815210933
Moultonborough,Carroll,1997.0,1605.0,44.0,0.5544142143253747,0.4455857856746252,Trump,,1.2442367601246105,4184.0,"48,048.28",75.08,"38,425.43",60.04,"9,622.85",15.04,74625.0,03254,69.68687541638907
Nashua,Hillsborough,17806.0,26770.0,705.0,0.3994526202440775,0.6005473797559224,Biden,1.5034258115242054,,89355.0,"20,304.96",31.73,"19,682.03",30.75,622.93,0.97,70316.0,03060,2905.8536585365855
Nashua,Hillsborough,17806.0,26770.0,705.0,0.3994526202440775,0.6005473797559224,Biden,1.5034258115242054,,89355.0,"20,304.96",31.73,"19,682.03",30.75,622.93,0.97,70316.0,03061,2905.8536585365855
Nashua,Hillsborough,17806.0,26770.0,705.0,0.3994526202440775,0.6005473797559224,Biden,1.5034258115242054,,89355.0,"20,304.96",31.73,"19,682.03",30.75,622.93,0.97,70316.0,03062,2905.8536585365855
Nashua,Hillsborough,17806.0,26770.0,705.0,0.3994526202440775,0.6005473797559224,Biden,1.5034258115242054,,89355.0,"20,304.96",31.73,"19,682.03",30.75,622.93,0.97,70316.0,03063,2905.8536585365855
Nashua,Hillsborough,17806.0,26770.0,705.0,0.3994526202440775,0.6005473797559224,Biden,1.5034258115242054,,89355.0,"20,304.96",31.73,"19,682.03",30.75,622.93,0.97,70316.0,03064,2905.8536585365855
Nelson,Cheshire,164.0,275.0,12.0,0.3735763097949886,0.6264236902050114,Biden,1.6768292682926829,,734.0,"14,898.16",23.28,"14,019.14",21.9,879.02,1.37,71500.0,03457,33.51598173515982
New Boston,Hillsborough,2036.0,1826.0,60.0,0.5271879854997411,0.47281201450025895,Trump,,1.1150054764512596,5899.0,"27,653.58",43.21,"27,505.90",42.98,147.68,0.23,104241.0,03070,137.24988366682177
New Castle,Rockingham,281.0,619.0,2.0,0.31222222222222223,0.6877777777777778,Biden,2.202846975088968,,979.0,"1,347.61",2.11,521.17,0.81,826.44,1.29,113281.0,03854,1208.6419753086418
New Durham,Strafford,1109.0,727.0,28.0,0.6040305010893247,0.3959694989106754,Trump,,1.5254470426409903,2706.0,"28,053.83",43.83,"26,487.99",41.39,"1,565.84",2.45,77596.0,03855,65.37811065474752
New Hampton,Belknap,810.0,697.0,27.0,0.5374917053749171,0.46250829462508297,Trump,,1.1621233859397417,2221.0,"24,559.94",38.37,"23,560.79",36.81,999.15,1.56,72296.0,03256,60.33686498234175
New Ipswich,Hillsborough,2099.0,962.0,62.0,0.6857236197321137,0.3142763802678863,Trump,,2.181912681912682,5393.0,"21,149.09",33.05,"20,953.79",32.74,195.31,0.31,84070.0,03071,164.72205253512521
New London,Merrimack,1059.0,2081.0,42.0,0.33726114649681527,0.6627388535031847,Biden,1.9650613786591125,,4308.0,"16,267.87",25.42,"14,304.59",22.35,"1,963.28",3.07,72285.0,03257,192.751677852349
Newbury,Merrimack,726.0,905.0,28.0,0.4451256897608829,0.5548743102391172,Biden,1.2465564738292012,,2228.0,"24,382.55",38.1,"22,917.85",35.81,"1,464.70",2.29,89087.0,03255,62.217257749232054
Newfields,Rockingham,512.0,719.0,24.0,0.4159220146222583,0.5840779853777417,Biden,1.404296875,,1736.0,"4,646.71",7.26,"4,540.46",7.09,106.25,0.17,122750.0,03856,244.851904090268
Newington,Rockingham,325.0,304.0,10.0,0.5166931637519873,0.48330683624801274,Trump,,1.069078947368421,813.0,"7,916.73",12.37,"5,273.70",8.24,"2,643.03",4.13,96667.0,03805,98.66504854368932
Newmarket,Rockingham,1925.0,3953.0,126.0,0.3274923443348078,0.6725076556651922,Biden,2.0535064935064935,,9156.0,"9,080.31",14.19,"8,042.25",12.57,"1,038.06",1.62,70057.0,03857,728.4009546539379
Newport,Sullivan,1773.0,1301.0,64.0,0.5767729342875731,0.4232270657124268,Trump,,1.3627978478093774,6358.0,"27,930.33",43.64,"27,855.05",43.52,75.28,0.12,58193.0,03773,146.09375
Newton,Rockingham,1680.0,1277.0,37.0,0.5681433885694961,0.4318566114305039,Trump,,1.3155833985904464,4928.0,"6,364.91",9.95,"6,294.35",9.83,70.56,0.11,105288.0,03858,501.32248219735504
North Hampton,Rockingham,1455.0,1987.0,32.0,0.42271934921557236,0.5772806507844277,Biden,1.3656357388316152,,4486.0,"8,922.81",13.94,"8,913.56",13.93,9.25,0.01,103520.0,03862,322.03876525484566
Northfield,Merrimack,1435.0,1122.0,62.0,0.5612045365662887,0.4387954634337114,Trump,,1.2789661319073085,4942.0,"18,485.68",28.88,"18,299.62",28.59,186.06,0.29,66449.0,03276,172.85764253235396
Northumberland,Coos,614.0,424.0,18.0,0.5915221579961464,0.40847784200385356,Trump,,1.4481132075471699,2139.0,"23,558.88",36.81,"23,505.49",36.73,53.38,0.08,39823.0,03582,58.235774571195215
Northwood,Rockingham,1483.0,1329.0,56.0,0.5273826458036984,0.4726173541963016,Trump,,1.1158765989465764,4309.0,"19,356.88",30.25,"18,002.62",28.13,"1,354.26",2.12,86910.0,03261,153.1816565943832
Nottingham,Rockingham,1641.0,1769.0,86.0,0.48123167155425217,0.5187683284457478,Biden,1.0780012187690433,,5136.0,"30,996.56",48.43,"29,775.79",46.52,"1,220.76",1.91,103348.0,03290,110.40412725709372
Orange,Grafton,110.0,80.0,6.0,0.5789473684210527,0.42105263157894735,Trump,,1.375,309.0,"14,799.72",23.12,"14,775.66",23.09,24.06,0.04,59250.0,03741,13.382416630576007
Orford,Grafton,269.0,539.0,15.0,0.33292079207920794,0.6670792079207921,Biden,2.003717472118959,,1301.0,"30,577.85",47.78,"29,715.40",46.43,862.45,1.35,81250.0,03777,28.020676286883482
Ossipee,Carroll,1487.0,965.0,34.0,0.6064437194127243,0.3935562805872757,Trump,,1.5409326424870466,4384.0,"48,168.46",75.26,"45,375.95",70.9,"2,792.51",4.36,47500.0,03864,61.83356840620592
Pelham,Hillsborough,5253.0,3480.0,121.0,0.6015115080728272,0.3984884919271728,Trump,,1.5094827586206896,14220.0,"17,151.36",26.8,"16,820.80",26.28,330.56,0.52,102577.0,03076,541.0958904109589
Pembroke,Merrimack,2057.0,2189.0,79.0,0.4844559585492228,0.5155440414507773,Biden,1.0641711229946524,,7203.0,"14,597.25",22.81,"14,486.98",22.64,110.27,0.17,87884.0,03275,318.1537102473498
Peterborough,Hillsborough,1246.0,3090.0,64.0,0.2873616236162362,0.7126383763837638,Biden,2.479935794542536,,6688.0,"24,592.42",38.43,"24,330.65",38.02,261.77,0.41,78031.0,03458,175.907417148869
Piermont,Grafton,194.0,241.0,5.0,0.4459770114942529,0.5540229885057472,Biden,1.2422680412371134,,808.0,"25,582.23",39.97,"24,720.11",38.63,862.12,1.35,69479.0,03779,20.916386228319958
Pittsburg,Coos,380.0,158.0,7.0,0.7063197026022305,0.2936802973977695,Trump,,2.4050632911392404,820.0,"186,430.50",291.3,"180,680.07",282.31,"5,750.40",8.99,43462.0,03592,2.904608409195565
Pittsfield,Merrimack,1230.0,807.0,58.0,0.6038291605301914,0.3961708394698085,Trump,,1.5241635687732342,4125.0,"15,558.70",24.31,"15,440.24",24.13,118.46,0.19,49287.0,03263,170.94902610857855
Plainfield,Sullivan,522.0,1135.0,28.0,0.31502715751357874,0.6849728424864212,Biden,2.1743295019157087,,2400.0,"33,914.30",52.99,"33,417.72",52.22,496.58,0.78,83362.0,03781,45.95940252776714
Plaistow,Rockingham,2504.0,2045.0,63.0,0.5504506484941746,0.4495493515058255,Trump,,1.2244498777506112,7716.0,"6,789.60",10.61,"6,789.60",10.61,-0.01,0.0,84125.0,03865,727.2384542884072
Plymouth,Grafton,1123.0,2214.0,78.0,0.33652981720107883,0.6634701827989212,Biden,1.9715048975957257,,6862.0,"18,232.58",28.49,"18,063.10",28.22,169.48,0.26,41875.0,03264,243.16087880935507
Portsmouth,Rockingham,3836.0,10663.0,202.0,0.26456997034278223,0.7354300296572177,Biden,2.779718456725756,,21927.0,"10,763.36",16.82,"10,033.92",15.68,729.44,1.14,72384.0,03801,1398.405612244898
Portsmouth,Rockingham,3836.0,10663.0,202.0,0.26456997034278223,0.7354300296572177,Biden,2.779718456725756,,21927.0,"10,763.36",16.82,"10,033.92",15.68,729.44,1.14,72384.0,03802,1398.405612244898
Portsmouth,Rockingham,3836.0,10663.0,202.0,0.26456997034278223,0.7354300296572177,Biden,2.779718456725756,,21927.0,"10,763.36",16.82,"10,033.92",15.68,729.44,1.14,72384.0,03803,1398.405612244898
Portsmouth,Rockingham,3836.0,10663.0,202.0,0.26456997034278223,0.7354300296572177,Biden,2.779718456725756,,21927.0,"10,763.36",16.82,"10,033.92",15.68,729.44,1.14,72384.0,03804,1398.405612244898
Randolph,Coos,83.0,186.0,8.0,0.30855018587360594,0.6914498141263941,Biden,2.2409638554216866,,286.0,"30,142.31",47.1,"30,114.28",47.05,28.02,0.04,69688.0,03593,6.078639744952179
Raymond,Rockingham,3517.0,2378.0,105.0,0.5966072943172179,0.403392705682782,Trump,,1.478973927670311,10529.0,"18,943.48",29.6,"18,440.14",28.81,503.34,0.79,68000.0,03077,365.4633807705658
Richmond,Cheshire,413.0,292.0,14.0,0.5858156028368794,0.41418439716312055,Trump,,1.4143835616438356,1124.0,"24,152.27",37.74,"24,027.85",37.54,124.42,0.19,65813.0,03470,29.941395844432606
Rindge,Cheshire,2144.0,1443.0,71.0,0.5977139671034291,0.40228603289657094,Trump,,1.4857934857934858,6090.0,"25,468.87",39.8,"23,724.90",37.07,"1,743.96",2.72,68250.0,03461,164.283787429188
Rochester,Strafford,8367.0,8132.0,346.0,0.507121643735984,0.492878356264016,Trump,,1.028898180029513,31526.0,"29,080.55",45.44,"28,688.06",44.83,392.49,0.61,55767.0,03839,703.2344412223957
Rochester,Strafford,8367.0,8132.0,346.0,0.507121643735984,0.492878356264016,Trump,,1.028898180029513,31526.0,"29,080.55",45.44,"28,688.06",44.83,392.49,0.61,55767.0,03866,703.2344412223957
Rochester,Strafford,8367.0,8132.0,346.0,0.507121643735984,0.492878356264016,Trump,,1.028898180029513,31526.0,"29,080.55",45.44,"28,688.06",44.83,392.49,0.61,55767.0,03867,703.2344412223957
Rochester,Strafford,8367.0,8132.0,346.0,0.507121643735984,0.492878356264016,Trump,,1.028898180029513,31526.0,"29,080.55",45.44,"28,688.06",44.83,392.49,0.61,55767.0,03868,703.2344412223957
Rollinsford,Strafford,735.0,951.0,50.0,0.4359430604982206,0.5640569395017794,Biden,1.2938775510204081,,2586.0,"4,842.77",7.57,"4,680.07",7.31,162.7,0.25,74470.0,03869,353.7619699042408
Roxbury,Cheshire,52.0,92.0,0.0,0.3611111111111111,0.6388888888888888,Biden,1.7692307692307692,,220.0,"7,844.85",12.26,"7,656.67",11.96,188.18,0.29,67500.0,03431,18.394648829431436
Rumney,Grafton,527.0,410.0,19.0,0.5624332977588047,0.4375667022411953,Trump,,1.2853658536585366,1567.0,"27,270.22",42.61,"26,863.91",41.97,406.31,0.63,57250.0,03266,37.33619251846557
Rye,Rockingham,1620.0,2781.0,39.0,0.36809815950920244,0.6319018404907976,Biden,1.7166666666666666,,5470.0,"8,425.59",13.16,"8,090.96",12.64,334.62,0.52,103792.0,03870,432.753164556962
Salem,Rockingham,9969.0,7638.0,234.0,0.566195263247572,0.43380473675242803,Trump,,1.305184603299293,29791.0,"16,569.31",25.89,"15,876.66",24.81,692.65,1.08,80857.0,03079,1200.7658202337768
Salisbury,Merrimack,517.0,380.0,25.0,0.5763656633221851,0.4236343366778149,Trump,,1.3605263157894736,1446.0,"25,468.30",39.79,"25,318.42",39.56,149.88,0.23,75192.0,03268,36.552072800808894
Sanbornton,Belknap,1134.0,875.0,36.0,0.5644599303135889,0.4355400696864111,Trump,,1.296,2994.0,"31,774.38",49.65,"30,261.93",47.28,"1,512.46",2.36,77000.0,03269,63.3248730964467
Sandown,Rockingham,2273.0,1632.0,70.0,0.5820742637644046,0.41792573623559537,Trump,,1.3927696078431373,6547.0,"9,231.77",14.42,"8,952.21",13.99,279.56,0.44,102229.0,03873,467.9771265189421
Sandwich,Carroll,413.0,718.0,12.0,0.3651635720601238,0.6348364279398763,Biden,1.738498789346247,,1358.0,"60,250.83",94.14,"58,394.48",91.24,"1,856.35",2.9,63583.0,03227,14.883822884699693
Seabrook,Rockingham,2595.0,1973.0,71.0,0.5680823117338003,0.43191768826619964,Trump,,1.3152559553978713,8842.0,"6,161.28",9.63,"5,759.74",9.0,401.54,0.63,61406.0,03874,982.4444444444445
Sharon,Hillsborough,116.0,153.0,4.0,0.4312267657992565,0.5687732342007435,Biden,1.3189655172413792,,369.0,"10,022.16",15.66,"10,022.17",15.66,-0.01,0.0,69643.0,03458,23.563218390804597
Shelburne,Coos,122.0,131.0,1.0,0.48221343873517786,0.5177865612648221,Biden,1.0737704918032787,,345.0,"31,211.89",48.77,"30,635.01",47.87,576.83,0.9,64375.0,03581,7.207019009818258
Somersworth,Strafford,2550.0,3422.0,99.0,0.426992632283992,0.573007367716008,Biden,1.3419607843137256,,11968.0,"6,398.29",10.0,"6,280.89",9.81,117.4,0.18,62777.0,03878,1219.979612640163
South Hampton,Rockingham,326.0,304.0,22.0,0.5174603174603175,0.48253968253968255,Trump,,1.0723684210526316,827.0,"5,146.58",8.04,"5,063.00",7.91,83.59,0.13,105833.0,03827,104.551201011378
Springfield,Sullivan,436.0,437.0,16.0,0.49942726231386025,0.5005727376861397,Biden,1.0022935779816513,,1341.0,"28,478.79",44.5,"27,914.60",43.62,564.19,0.88,77375.0,03284,30.742778541953236
Stark,Coos,188.0,106.0,1.0,0.6394557823129252,0.36054421768707484,Trump,,1.7735849056603774,498.0,"38,221.81",59.72,"37,901.91",59.22,319.89,0.5,44286.0,03582,8.409321175278622
Stewartstown,Coos,291.0,117.0,5.0,0.7132352941176471,0.2867647058823529,Trump,,2.4871794871794872,918.0,"30,019.15",46.9,"29,772.61",46.52,246.54,0.39,42813.0,03576,19.733447979363714
Stoddard,Cheshire,430.0,419.0,0.0,0.5064782096584217,0.49352179034157834,Trump,,1.026252983293556,1240.0,"33,949.89",53.05,"32,588.16",50.92,"1,361.73",2.13,78182.0,03464,24.351924587588375
Strafford,Strafford,1408.0,1330.0,45.0,0.5142439737034331,0.48575602629656683,Trump,,1.0586466165413533,4212.0,"32,778.81",51.22,"31,342.78",48.97,"1,436.03",2.24,106250.0,03884,86.01184398611394
Stratford,Coos,140.0,159.0,1.0,0.4682274247491639,0.5317725752508361,Biden,1.1357142857142857,,684.0,"51,231.47",80.05,"51,146.76",79.92,84.7,0.13,33295.0,03590,8.558558558558559
Stratham,Rockingham,2115.0,3306.0,64.0,0.3901494189263973,0.6098505810736027,Biden,1.5631205673758866,,7488.0,"9,901.55",15.47,"9,679.39",15.12,222.16,0.35,107297.0,03885,495.23809523809524
Sugar Hill,Grafton,153.0,316.0,16.0,0.326226012793177,0.673773987206823,Biden,2.065359477124183,,577.0,"11,027.58",17.23,"10,955.98",17.12,71.6,0.11,83125.0,03586,33.70327102803738
Sullivan,Cheshire,186.0,216.0,10.0,0.4626865671641791,0.5373134328358209,Biden,1.1612903225806452,,675.0,"11,984.88",18.73,"11,867.99",18.54,116.89,0.18,60625.0,03445,36.407766990291265
Sunapee,Sullivan,1086.0,1309.0,36.0,0.4534446764091858,0.5465553235908142,Biden,1.205340699815838,,3487.0,"16,099.13",25.15,"13,484.22",21.07,"2,614.92",4.09,63750.0,03782,165.49596582819174
Surry,Cheshire,252.0,307.0,4.0,0.45080500894454384,0.5491949910554562,Biden,1.2182539682539681,,744.0,"10,240.91",16.0,"10,042.26",15.69,198.65,0.31,80163.0,03431,47.41873804971319
Sutton,Merrimack,574.0,753.0,21.0,0.4325546345139412,0.5674453654860587,Biden,1.3118466898954704,,1922.0,"27,734.78",43.34,"27,233.59",42.55,501.19,0.78,88250.0,03221,45.170387779083434
Sutton,Merrimack,574.0,753.0,21.0,0.4325546345139412,0.5674453654860587,Biden,1.3118466898954704,,1922.0,"27,734.78",43.34,"27,233.59",42.55,501.19,0.78,88250.0,03257,45.170387779083434
Sutton,Merrimack,574.0,753.0,21.0,0.4325546345139412,0.5674453654860587,Biden,1.3118466898954704,,1922.0,"27,734.78",43.34,"27,233.59",42.55,501.19,0.78,88250.0,03278,45.170387779083434
Sutton,Merrimack,574.0,753.0,21.0,0.4325546345139412,0.5674453654860587,Biden,1.3118466898954704,,1922.0,"27,734.78",43.34,"27,233.59",42.55,501.19,0.78,88250.0,03287,45.170387779083434
Swanzey,Cheshire,1763.0,2008.0,59.0,0.4675152479448422,0.5324847520551578,Biden,1.138967668746455,,7220.0,"29,011.71",45.33,"28,761.37",44.94,250.34,0.39,57326.0,03446,160.6586559857588
Tamworth,Carroll,838.0,899.0,31.0,0.48244099021301096,0.5175590097869891,Biden,1.0727923627684963,,3077.0,"38,812.56",60.64,"38,289.06",59.83,523.5,0.82,52963.0,03886,51.429048972087585
Temple,Hillsborough,432.0,518.0,11.0,0.45473684210526316,0.5452631578947369,Biden,1.1990740740740742,,1422.0,"14,381.49",22.47,"14,240.75",22.25,140.74,0.22,79821.0,03084,63.91011235955056
Thornton,Grafton,737.0,958.0,36.0,0.43480825958702063,0.5651917404129794,Biden,1.299864314789688,,2536.0,"32,443.43",50.69,"32,176.77",50.28,266.67,0.42,63317.0,03223,50.437549721559265
Thornton,Grafton,737.0,958.0,36.0,0.43480825958702063,0.5651917404129794,Biden,1.299864314789688,,2536.0,"32,443.43",50.69,"32,176.77",50.28,266.67,0.42,63317.0,03285,50.437549721559265
Tilton,Belknap,1044.0,938.0,43.0,0.5267406659939455,0.47325933400605447,Trump,,1.1130063965884862,3543.0,"7,637.78",11.93,"7,304.20",11.41,333.58,0.52,53418.0,03276,310.5170902716915
Tilton,Belknap,1044.0,938.0,43.0,0.5267406659939455,0.47325933400605447,Trump,,1.1130063965884862,3543.0,"7,637.78",11.93,"7,304.20",11.41,333.58,0.52,53418.0,03298,310.5170902716915
Tilton,Belknap,1044.0,938.0,43.0,0.5267406659939455,0.47325933400605447,Trump,,1.1130063965884862,3543.0,"7,637.78",11.93,"7,304.20",11.41,333.58,0.52,53418.0,03299,310.5170902716915
Troy,Cheshire,583.0,509.0,25.0,0.5338827838827839,0.4661172161172161,Trump,,1.1453831041257367,2105.0,"11,274.24",17.62,"11,172.56",17.46,101.68,0.16,60200.0,03465,120.56128293241694
Tuftonboro,Carroll,1012.0,875.0,13.0,0.5363010068892422,0.4636989931107578,Trump,,1.1565714285714286,2419.0,"31,638.50",49.44,"25,998.88",40.62,"5,639.63",8.81,57426.0,03816,59.551944854751355
Tuftonboro,Carroll,1012.0,875.0,13.0,0.5363010068892422,0.4636989931107578,Trump,,1.1565714285714286,2419.0,"31,638.50",49.44,"25,998.88",40.62,"5,639.63",8.81,57426.0,03894,59.551944854751355
