Town,County,Trump,Biden,Other,Perc_Trump,Perc_Biden,Winner,wr_Biden,wr_Trump,population,Total Acres,Total Sq Miles,Land Acres,Land Sq Miles,Water Acres,Water Sq Miles,Income,zip_code,pop_density
Bristol,Grafton,994.0,842.0,29.0,0.5413943355119826,0.45860566448801743,Trump,,1.180522565320665,3096.0,"14,022.17",21.91,"10,928.72",17.08,"3,093.45",4.83,53894.0,03222,181.26463700234194
Brookfield,Carroll,315.0,218.0,12.0,0.5909943714821764,0.4090056285178236,Trump,,1.444954128440367,688.0,"14,880.31",23.25,"14,628.96",22.86,251.36,0.39,82045.0,03872,30.096237970253718
Brookline,Hillsborough,1647.0,1903.0,78.0,0.463943661971831,0.536056338028169,Biden,1.1554341226472373,,5453.0,"12,924.40",20.19,"12,745.81",19.92,178.59,0.28,127222.0,03033,273.7449799196787
Campton,Grafton,964.0,1120.0,45.0,0.46257197696737046,0.5374280230326296,Biden,1.161825726141079,,3300.0,"33,619.95",52.53,"33,240.40",51.94,379.55,0.59,65129.0,03223,63.534847901424726
Canaan,Grafton,890.0,1162.0,34.0,0.4337231968810916,0.5662768031189084,Biden,1.3056179775280898,,3899.0,"35,275.92",55.12,"34,116.37",53.31,"1,159.55",1.81,64915.0,03741,73.13824798349278
Candia,Rockingham,1702.0,1039.0,41.0,0.6209412623130245,0.37905873768697557,Trump,,1.6381135707410972,3959.0,"19,557.09",30.56,"19,408.38",30.33,148.71,0.23,95195.0,03034,130.53082756346853
Canterbury,Merrimack,718.0,1009.0,27.0,0.4157498552403011,0.5842501447596989,Biden,1.4052924791086352,,2464.0,"28,696.60",44.84,"28,123.99",43.94,572.61,0.89,81818.0,03224,56.07646791078744
Carroll,Coos,267.0,266.0,5.0,0.50093808630394,0.49906191369606,Trump,,1.0037593984962405,747.0,"32,187.51",50.29,"32,171.44",50.27,16.06,0.03,57679.0,03598,14.859757310523174
Center Harbor,Belknap,407.0,379.0,6.0,0.5178117048346056,0.4821882951653944,Trump,,1.0738786279683377,1097.0,"10,394.43",16.24,"8,532.56",13.33,"1,861.86",2.91,66250.0,03226,82.29557389347337
Charlestown,Sullivan,1239.0,1185.0,57.0,0.5111386138613861,0.48886138613861385,Trump,,1.0455696202531646,5021.0,"24,345.46",38.04,"22,927.95",35.82,"1,417.51",2.21,50297.0,03603,140.17308766052486
Chatham,Carroll,130.0,106.0,8.0,0.5508474576271186,0.4491525423728814,Trump,,1.2264150943396226,364.0,"36,639.19",57.25,"36,313.62",56.74,325.57,0.51,60556.0,03813,6.415227352837504
Chester,Rockingham,1951.0,1465.0,53.0,0.5711358313817331,0.428864168618267,Trump,,1.331740614334471,5270.0,"16,717.75",26.12,"16,661.66",26.03,56.09,0.09,122083.0,03036,202.4587014982712
Chesterfield,Cheshire,958.0,1390.0,44.0,0.4080068143100511,0.5919931856899489,Biden,1.4509394572025052,,3627.0,"30,427.75",47.54,"29,178.00",45.59,"1,249.75",1.95,76217.0,03443,79.55692037727572
Chichester,Merrimack,930.0,770.0,36.0,0.5470588235294118,0.45294117647058824,Trump,,1.2077922077922079,2706.0,"13,628.10",21.29,"13,564.57",21.19,63.53,0.1,81397.0,03258,127.70174610665407
Claremont,Sullivan,2788.0,2895.0,130.0,0.4905859581207109,0.5094140418792891,Biden,1.0383787661406025,,12932.0,"28,193.00",44.05,"27,615.91",43.15,577.1,0.9,46639.0,03743,299.6987253765933
Clarksville,Coos,108.0,72.0,3.0,0.6,0.4,Trump,,1.5,251.0,"39,915.79",62.37,"38,686.04",60.45,"1,229.75",1.92,38382.0,03592,4.152191894127378
Colebrook,Coos,630.0,418.0,26.0,0.601145038167939,0.3988549618320611,Trump,,1.507177033492823,2138.0,"26,106.54",40.79,"26,087.46",40.76,19.06,0.03,46078.0,03576,52.453385672227675
Columbia,Coos,235.0,114.0,2.0,0.673352435530086,0.32664756446991405,Trump,,2.06140350877193,735.0,"39,220.09",61.28,"39,181.08",61.22,39,0.06,48958.0,03576,12.005880431231624
Columbia,Coos,235.0,114.0,2.0,0.673352435530086,0.32664756446991405,Trump,,2.06140350877193,735.0,"39,220.09",61.28,"39,181.08",61.22,39,0.06,48958.0,03590,12.005880431231624
Concord,Merrimack,7983.0,15511.0,374.0,0.33978888226781306,0.660211117732187,Biden,1.9430038832519103,,43627.0,"42,999.79",67.19,"40,933.93",63.96,"2,065.86",3.23,61310.0,03301,682.098186366479
Concord,Merrimack,7983.0,15511.0,374.0,0.33978888226781306,0.660211117732187,Biden,1.9430038832519103,,43627.0,"42,999.79",67.19,"40,933.93",63.96,"2,065.86",3.23,61310.0,03302,682.098186366479
Concord,Merrimack,7983.0,15511.0,374.0,0.33978888226781306,0.660211117732187,Biden,1.9430038832519103,,43627.0,"42,999.79",67.19,"40,933.93",63.96,"2,065.86",3.23,61310.0,03303,682.098186366479
Concord,Merrimack,7983.0,15511.0,374.0,0.33978888226781306,0.660211117732187,Biden,1.9430038832519103,,43627.0,"42,999.79",67.19,"40,933.93",63.96,"2,065.86",3.23,61310.0,03305,682.098186366479
Conway,Carroll,2380.0,3380.0,89.0,0.4131944444444444,0.5868055555555556,Biden,1.4201680672268908,,10252.0,"45,881.08",71.69,"44,596.85",69.68,"1,284.23",2.01,59510.0,03818,147.12973593570607
Cornish,Sullivan,408.0,679.0,22.0,0.37534498620055196,0.624655013799448,Biden,1.6642156862745099,,1617.0,"27,269.70",42.61,"26,855.14",41.96,414.56,0.65,77667.0,03745,38.53670162059104
Croydon,Sullivan,319.0,172.0,19.0,0.6496945010183299,0.35030549898167007,Trump,,1.8546511627906976,765.0,"24,028.77",37.54,"23,554.03",36.8,474.74,0.74,74063.0,03773,20.78804347826087
Dalton,Coos,295.0,231.0,2.0,0.5608365019011406,0.4391634980988593,Trump,,1.277056277056277,885.0,"18,104.35",28.29,"17,624.09",27.54,480.25,0.75,55893.0,03598,32.135076252723316
Danbury,Merrimack,414.0,290.0,21.0,0.5880681818181818,0.4119318181818182,Trump,,1.4275862068965517,1226.0,"24,343.39",38.04,"24,161.80",37.75,181.59,0.28,63750.0,03230,32.47682119205298
Danville,Rockingham,1686.0,1082.0,48.0,0.6091040462427746,0.3908959537572254,Trump,,1.5582255083179297,4556.0,"7,569.40",11.83,"7,453.77",11.65,115.63,0.18,88485.0,03819,391.07296137339057
Deerfield,Rockingham,1786.0,1360.0,62.0,0.5677050222504768,0.4322949777495232,Trump,,1.313235294117647,4541.0,"33,347.66",52.11,"32,496.59",50.78,851.07,1.33,92767.0,03037,89.42497046081134
Deering,Hillsborough,670.0,462.0,26.0,0.5918727915194346,0.4081272084805654,Trump,,1.4502164502164503,1973.0,"19,987.89",31.23,"19,571.19",30.58,416.7,0.65,65650.0,03244,64.51929365598431
Derry,Rockingham,9412.0,8215.0,267.0,0.5339535939184206,0.4660464060815794,Trump,,1.145709068776628,33485.0,"23,225.64",36.29,"22,675.90",35.43,549.74,0.86,68984.0,03038,945.1030200395145
Dorchester,Grafton,124.0,105.0,4.0,0.5414847161572053,0.4585152838427948,Trump,,1.180952380952381,356.0,"28,889.88",45.14,"28,540.65",44.59,349.23,0.55,59167.0,03266,7.983852881812065
Dover,Strafford,6331.0,12508.0,346.0,0.3360581771856256,0.6639418228143744,Biden,1.9756752487758649,,32191.0,"18,592.05",29.05,"17,113.07",26.74,"1,478.98",2.31,65922.0,03820,1203.8519072550487
Dover,Strafford,6331.0,12508.0,346.0,0.3360581771856256,0.6639418228143744,Biden,1.9756752487758649,,32191.0,"18,592.05",29.05,"17,113.07",26.74,"1,478.98",2.31,65922.0,03821,1203.8519072550487
Dover,Strafford,6331.0,12508.0,346.0,0.3360581771856256,0.6639418228143744,Biden,1.9756752487758649,,32191.0,"18,592.05",29.05,"17,113.07",26.74,"1,478.98",2.31,65922.0,03822,1203.8519072550487
Dublin,Cheshire,404.0,687.0,18.0,0.3703024747937672,0.6296975252062328,Biden,1.7004950495049505,,1543.0,"18,553.04",28.99,"17,852.14",27.89,700.9,1.1,69375.0,03444,55.32448906418071
Dummer,Coos,113.0,67.0,4.0,0.6277777777777778,0.37222222222222223,Trump,,1.6865671641791045,284.0,"31,461.36",49.16,"30,629.51",47.86,831.84,1.3,41389.0,03588,5.933974091099039
Dunbarton,Merrimack,1121.0,877.0,32.0,0.561061061061061,0.4389389389389389,Trump,,1.2782212086659066,2879.0,"20,045.64",31.32,"19,734.04",30.83,311.6,0.49,102375.0,03046,93.38306843983133
Durham,Strafford,1712.0,5970.0,128.0,0.22285863056495706,0.777141369435043,Biden,3.4871495327102804,,16293.0,"15,852.21",24.77,"14,338.00",22.4,"1,514.21",2.37,74267.0,03824,727.3660714285714
East Kingston,Rockingham,889.0,781.0,22.0,0.5323353293413173,0.4676646706586826,Trump,,1.1382842509603073,2418.0,"6,380.73",9.97,"6,344.77",9.91,35.96,0.06,99032.0,03827,243.9959636730575
Easton,Grafton,64.0,167.0,3.0,0.27705627705627706,0.7229437229437229,Biden,2.609375,,263.0,"19,934.00",31.15,"19,929.02",31.14,4.98,0.01,58889.0,03580,8.44572896596018
Easton,Grafton,64.0,167.0,3.0,0.27705627705627706,0.7229437229437229,Biden,2.609375,,263.0,"19,934.00",31.15,"19,929.02",31.14,4.98,0.01,58889.0,03785,8.44572896596018
Eaton,Carroll,117.0,188.0,4.0,0.3836065573770492,0.6163934426229508,Biden,1.606837606837607,,400.0,"16,383.09",25.6,"15,618.56",24.4,764.53,1.19,70855.0,03832,16.393442622950822
Effingham,Carroll,526.0,391.0,9.0,0.5736095965103599,0.42639040348964014,Trump,,1.3452685421994885,1478.0,"25,555.90",39.93,"24,877.94",38.87,677.96,1.06,50000.0,03882,38.02418317468485
Ellsworth,Grafton,32.0,45.0,1.0,0.4155844155844156,0.5844155844155844,Biden,1.40625,,88.0,"13,781.22",21.53,"13,717.93",21.43,63.29,0.1,49000.0,03223,4.106392907139524
Ellsworth,Grafton,32.0,45.0,1.0,0.4155844155844156,0.5844155844155844,Biden,1.40625,,88.0,"13,781.22",21.53,"13,717.93",21.43,63.29,0.1,49000.0,03266,4.106392907139524
Enfield,Grafton,930.0,1777.0,58.0,0.3435537495382342,0.6564462504617657,Biden,1.910752688172043,,4531.0,"27,615.61",43.15,"25,790.95",40.3,"1,824.65",2.85,82469.0,03748,112.4317617866005
