126,"Harrisville, New Hampshire","$67,266 "
127,"Milton, New Hampshire","$67,214 "
128,"Holderness, New Hampshire","$67,143 "
129,"Loudon, New Hampshire","$67,072 "
130,"Epsom, New Hampshire","$67,008 "
131,"Unity, New Hampshire","$66,458 "
132,"Northfield, New Hampshire","$66,449 "
133,"Center Harbor, New Hampshire","$66,250 "
134,"Dover, New Hampshire","$65,922 "
135,"Richmond, New Hampshire","$65,813 "
136,"Deering, New Hampshire","$65,650 "
137,"Campton, New Hampshire","$65,129 "
138,"Wilmot, New Hampshire","$65,066 "
139,"Canaan, New Hampshire","$64,915 "
140,"Antrim, New Hampshire","$64,886 "
141,"Lebanon, New Hampshire","$64,564 "
142,"Shelburne, New Hampshire","$64,375 "
143,"Danbury, New Hampshire","$63,750 "
144,"Sunapee, New Hampshire","$63,750 "
145,"Lempster, New Hampshire","$63,646 "
146,"Sandwich, New Hampshire","$63,583 "
147,"Thornton, New Hampshire","$63,317 "
148,"Belmont, New Hampshire","$63,309 "
149,"Wentworth, New Hampshire","$62,955 "
150,"Jackson, New Hampshire","$62,875 "
151,"Somersworth, New Hampshire","$62,777 "
152,"Monroe, New Hampshire","$61,406 "
153,"Seabrook, New Hampshire","$61,406 "
154,"Concord, New Hampshire","$61,310 "
155,"Marlow, New Hampshire","$60,833 "
156,"Sullivan, New Hampshire","$60,625 "
157,"Farmington, New Hampshire","$60,562 "
158,"Chatham, New Hampshire","$60,556 "
159,"Goshen, New Hampshire","$60,417 "
160,"Bennington, New Hampshire","$60,278 "
161,"Troy, New Hampshire","$60,200 "
162,"Gilsum, New Hampshire","$59,750 "
163,"Jaffrey, New Hampshire","$59,698 "
164,"Madison, New Hampshire","$59,675 "
165,"Conway, New Hampshire","$59,510 "
166,"Freedom, New Hampshire","$59,330 "
167,"Orange, New Hampshire","$59,250 "
168,"Dorchester, New Hampshire","$59,167 "
169,"Windsor, New Hampshire","$59,167 "
170,"Easton, New Hampshire","$58,889 "
171,"Albany, New Hampshire","$58,750 "
172,"Alexandria, New Hampshire","$58,750 "
173,"Newport, New Hampshire","$58,193 "
174,"Carroll, New Hampshire","$57,679 "
175,"Greenville, New Hampshire","$57,667 "
176,"Tuftonboro, New Hampshire","$57,426 "
177,"Hinsdale, New Hampshire","$57,340 "
178,"Swanzey, New Hampshire","$57,326 "
179,"Rumney, New Hampshire","$57,250 "
180,"Acworth, New Hampshire","$57,125 "
181,"Gorham, New Hampshire","$57,107 "
182,"Alstead, New Hampshire","$57,097 "
183,"Lyman, New Hampshire","$56,965 "
184,"Marlborough, New Hampshire","$56,689 "
185,"Manchester, New Hampshire","$56,467 "
186,"Wakefield, New Hampshire","$56,291 "
187,"Jefferson, New Hampshire","$56,071 "
188,"Dalton, New Hampshire","$55,893 "
189,"Rochester, New Hampshire","$55,767 "
190,"Keene, New Hampshire","$55,398 "
191,"Allenstown, New Hampshire","$54,769 "
192,"Bethlehem, New Hampshire","$54,500 "
193,"Bath, New Hampshire","$54,167 "
194,"Grafton, New Hampshire","$54,000 "
195,"Bristol, New Hampshire","$53,894 "
196,"Haverhill, New Hampshire","$53,869 "
197,"Bridgewater, New Hampshire","$53,854 "
198,"Tilton, New Hampshire","$53,418 "
199,"Tamworth, New Hampshire","$52,963 "
200,"Woodstock, New Hampshire","$52,845 "
201,"Laconia, New Hampshire","$52,702 "
202,"Milan, New Hampshire","$51,750 "
203,"Lisbon, New Hampshire","$51,726 "
204,"Fitzwilliam, New Hampshire","$51,638 "
205,"Benton, New Hampshire","$51,250 "
206,"Wolfeboro, New Hampshire","$50,907 "
207,"Charlestown, New Hampshire","$50,297 "
208,"Bartlett, New Hampshire","$50,250 "
209,"Lincoln, New Hampshire","$50,238 "
210,"Effingham, New Hampshire","$50,000 "
211,"Winchester, New Hampshire","$49,578 "
212,"Pittsfield, New Hampshire","$49,287 "
213,"Lancaster, New Hampshire","$49,207 "
214,"Ellsworth, New Hampshire","$49,000 "
215,"Columbia, New Hampshire","$48,958 "
216,"Franklin, New Hampshire","$48,398 "
217,"Landaff, New Hampshire","$48,036 "
218,"Ossipee, New Hampshire","$47,500 "
219,"Warren, New Hampshire","$47,188 "
220,"Groton, New Hampshire","$46,818 "
221,"Claremont, New Hampshire","$46,639 "
222,"Colebrook, New Hampshire","$46,078 "
223,"Stark, New Hampshire","$44,286 "
224,"Pittsburg, New Hampshire","$43,462 "
225,"Stewartstown, New Hampshire","$42,813 "
226,"Errol, New Hampshire","$42,750 "
227,"Ashland, New Hampshire","$42,300 "
228,"Plymouth, New Hampshire","$41,875 "
229,"Dummer, New Hampshire","$41,389 "
230,"Northumberland, New Hampshire","$39,823 "
231,"Littleton, New Hampshire","$39,490 "
232,"Clarksville, New Hampshire","$38,382 "
233,"Berlin, New Hampshire","$37,969 "
234,"Whitefield, New Hampshire","$36,176 "
235,"Stratford, New Hampshire","$33,295 "
